country,Region,Surface area,Population in thousands,Population density,GDP: Gross domestic product,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,International trade: Balance,Health: Total expenditure,Education: Government expenditure,Mobile-cellular subscriptions,Individuals using the Internet
Afghanistan,SouthernAsia,652864,35530,54.4,20270,23.3,23.3,53.3,-2110,8.2,3.3,61.6,42
Albania,SouthernEurope,28748,2930,106.9,11541,22.4,26,51.7,-2707,5.9,3.5,106.4,130
Algeria,NorthernAfrica,2381741,41318,17.3,164779,12.2,37.3,50.5,-17099,7.2,,113,135
American Samoa,Polynesia,199,56,278.2,,,,,,,,,92
Andorra,SouthernEurope,468,77,163.8,2812,0.5,10.8,88.6,-1255,8.1,3.3,88.1,13
Angola,MiddleAfrica,1246700,29784,23.9,117955,6.8,51.2,42,12221,3.3,,60.8,146
Anguilla,Caribbean,91,15,165.7,320,2.3,15.7,82,-153,,,177.9,52
Antigua and Barbuda,Caribbean,442,102,231.8,1356,1.9,18.3,79.8,-429,5.5,,137.2,55
Argentina,SouthAmerica,2780400,44271,16.2,632343,6,27.8,66.2,2124,4.8,5.3,143.9,256
Armenia,WesternAsia,29743,2930,102.9,10529,19,28.3,52.8,-1455,4.5,2.8,115.2,114
Aruba,Caribbean,180,105,584.8,2702,0.5,15.4,84.1,-1022,,6.2,135.7,32
Australia,Oceania,7692060,24451,3.2,1230859,2.5,26.5,71.1,224,9.4,5.2,132.8,948
Austria,WesternEurope,83871,8736,106,376967,1.3,28.3,70.4,-3795,11.2,5.5,157.4,118
Azerbaijan,WesternAsia,86600,9828,118.9,53049,6.7,49.9,43.4,611,6,2.6,111.3,97
Bahamas,Caribbean,13940,395,39.5,8854,1.6,12.7,85.7,-2539,7.7,,80.3,86
Bahrain,WesternAsia,771,1493,1963.9,31126,0.3,40.7,59,-1856,5,2.7,185.3,36
Bangladesh,SouthernAsia,147570,164670,1265,194466,15.5,28.1,56.3,-16593,2.8,1.9,83.4,151
Barbados,Caribbean,431,286,664.5,4385,1.7,12.1,86.2,-1104,7.5,6.6,116.5,56
Belarus,EasternEurope,207600,9468,46.7,54609,7.5,38.9,53.6,-4050,5.7,4.9,123.6,25
Belgium,WesternEurope,30528,11429,377.5,455107,0.7,22.2,77.1,25321,10.6,6.6,115.7,37
Belize,CentralAmerica,22966,375,16.4,1721,14.6,18.5,66.9,-706,5.8,6.4,48.9,117
Benin,WesternAfrica,114763,11176,99.1,8476,23.2,24.9,51.9,-2220,4.6,4.4,85.6,88
Bermuda,NorthernAmerica,53,61,1227,5853,0.7,5.3,94,-963,,1.7,58,72
Bhutan,SouthernAsia,38394,808,21.2,2074,17.2,43.9,38.8,-1072,3.6,7.4,87.1,71
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,32998,12.6,31,56.5,-1405,6.3,7.3,92.2,231
"Bonaire, Sint Eustatius and Saba",Caribbean,,25,77.4,,,,,,,,,56
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,16251,7.3,26.5,66.2,-3803,9.6,,90.2,91
Botswana,SouthernAfrica,582000,2292,4,14391,2.4,33.4,64.2,1218,5.4,,169,28
Brazil,SouthAmerica,8515767,209288,25,1772591,5.2,22.7,72,47683,8.3,6,126.6,990
British Virgin Islands,Caribbean,151,31,208,908,1,11.1,87.8,-444,,6.6,145.8,67
Brunei Darussalam,South-easternAsia,5765,429,81.3,12930,1.1,60.2,38.7,2197,2.6,4.4,108.1,193
Bulgaria,EasternEurope,111002,7085,65.3,48953,5.1,27.6,67.2,-2787,8.4,4.1,129.3,104
Burkina Faso,WesternAfrica,272967,19193,70.2,11065,34.5,21.8,43.7,-1680,5,4.1,80.6,31
Burundi,EasternAfrica,27830,10864,423.1,2735,36.3,13.9,49.8,-502,7.5,5.4,46.2,61
Cabo Verde,WesternAfrica,4033,546,135.6,1603,9.5,19.8,70.7,-455,4.8,5,127.2,65
Cambodia,South-easternAsia,181035,16005,90.7,18050,28.2,29.4,42.3,-2109,5.7,1.9,133,255
Cameroon,MiddleAfrica,475650,24054,50.9,28416,22.7,28.3,49.1,-2768,4.1,3,71.8,775
Canada,NorthernAmerica,9984670,36624,4,1552808,1.8,28.6,69.6,-14043,10.4,5.3,81.9,122
Cayman Islands,Caribbean,264,62,256.5,3726,0.3,7.5,92.2,-972,,,155.5,74
Central African Republic,MiddleAfrica,622984,4659,7.5,1633,34.9,24.8,40.4,66,4.2,1.2,20.4,60
Chad,MiddleAfrica,1284000,14900,11.8,10009,25.4,39,35.6,619,3.6,2.8,40.2,43
Channel Islands,NorthernEurope,180,165,870.1,,,,,,,,,
Chile,SouthAmerica,756102,18055,24.3,240796,3.9,32.8,63.3,1080,7.8,4.9,129.5,197
"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,309236,0.1,7.2,92.7,-30536,,3.3,228.8,64
"China, Macao SAR",EasternAsia,30,623,20821.6,46178,,6.6,93.4,-7668,,2,324.4,11
China,EasternAsia,9600000,1409517,150.1,11158457,9.2,41.1,49.7,530285,5.5,,93.2,1080
Colombia,SouthAmerica,1141748,49066,44.2,292080,6.8,34,59.2,-13786,7.2,4.5,115.7,835
Comoros,EasternAfrica,2235,814,437.4,1079,30.7,4,65.3,-173,6.7,4.3,54.8,114
Congo,MiddleAfrica,342000,5261,15.4,8493,4.7,70,25.3,-7253,5.2,,111.7,134
Cook Islands,Polynesia,236,17,72.4,294,8.1,9,82.9,-84,3.4,3.9,,75
Costa Rica,CentralAmerica,51100,4906,96.1,52958,5.1,21.5,73.4,-5414,9.3,7.2,150.7,340
Croatia,SouthernEurope,56594,4189,74.9,48676,4.1,26.6,69.3,-8182,7.8,4.6,103.8,176
Cuba,Caribbean,109884,11485,107.9,87206,5,20.5,74.5,13089,11.1,,29.6,339
Cyprus,WesternAsia,9251,1180,127.7,19561,2.3,10.6,87.2,-4684,7.4,6.1,95.4,72
Czechia,EasternEurope,78868,10618,137.5,185156,2.5,37.8,59.7,20932,7.4,4.1,129.2,53
Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,16283,21.6,46.2,32.2,-1748,,,12.9,78
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,37569,19.9,44.2,35.9,-803,4.3,2.2,53,349
Denmark,NorthernEurope,42921,5734,135.1,301308,1.2,22.9,75.8,9222,10.8,8.6,128.3,47
Djibouti,EasternAfrica,23200,957,41.3,1737,3.3,21.4,75.3,-852,10.6,,34.7,98
Dominica,Caribbean,750,74,98.6,512,15.4,13.2,71.5,-191,5.5,,106.3,66
Dominican Republic,Caribbean,48671,10767,222.8,67103,6.6,28,65.4,-18978,4.4,,82.6,184
Ecuador,SouthAmerica,257217,16625,66.9,100177,10.1,34.1,55.8,609,9.2,5,79.4,2358
Egypt,NorthernAfrica,1002000,97553,98,315917,11.2,36.3,52.5,-35545,5.6,,111,156
El Salvador,CentralAmerica,21041,6378,307.8,25850,10.8,25.8,63.3,-4519,6.8,3.5,145.3,86
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,13812,1.2,73.1,25.7,1987,3.8,,66.7,177
Eritrea,EasternAfrica,117600,5069,50.2,4783,17.2,23.5,59.3,-3310,3.3,,7,122
Estonia,NorthernEurope,45227,1310,30.9,22460,3.4,27.4,69.2,-1807,6.4,5.5,148.7,23
Ethiopia,EasternAfrica,1104300,104957,105,59917,40.5,16,43.5,-17397,4.9,4.5,42.8,148
Falkland Islands (Malvinas),SouthAmerica,12173,3,0.2,,,,,-13,,,163.5,23
Faroe Islands,NorthernEurope,1393,49,35.3,,,,,216,,,127.3,21
Fiji,Melanesia,18272,906,49.6,4391,11.3,18.1,70.7,-1391,4.5,3.9,108.2,291
Finland,NorthernEurope,338440,5523,18.2,231960,2.5,26.8,70.6,-3176,9.7,7.2,135.5,36
France,WesternEurope,551500,64980,118.7,2418946,1.7,19.5,78.8,-71670,11.5,5.5,102.6,278
French Guiana,SouthAmerica,83534,283,3.4,,,,,,,,,73
French Polynesia,Polynesia,4000,283,77.3,5135,2.8,11.9,85.2,-1319,,,94.9,175
Gabon,MiddleAfrica,267668,2025,7.9,13735,3.8,54.5,41.7,-79,3.4,2.7,168.9,270
Gambia,WesternAfrica,11295,2101,207.6,942,21.1,14.9,64,-439,7.3,2.8,131.3,67
Georgia,WesternAsia,69700,3912,56.3,13965,9,24.1,66.9,-5122,7.4,2,129,120
Germany,WesternEurope,357376,82114,235.6,3363600,0.6,30.5,68.9,280080,11.3,5,116.7,116
Ghana,WesternAfrica,238537,28834,126.7,37156,19,26.9,54.1,-4718,3.6,6.2,129.7,238
Gibraltar,SouthernEurope,6,35,3457.1,,,,,-299,,,129.5,31
Greece,SouthernEurope,131957,11160,86.6,194860,4.1,15.7,80.2,-19784,8.1,,114,374
Greenland,NorthernAmerica,2166086,56,0.1,2078,10,15.9,74.1,-71,,,106.5,23
Grenada,Caribbean,345,108,317.1,954,8.3,13.9,77.8,-320,6.1,,112.2,54
Guadeloupe,Caribbean,1705,450,266,,,,,,,,,73
Guam,Micronesia,549,164,304.1,,,,,,,,,99
Guatemala,CentralAmerica,108889,16914,157.8,63794,10.8,27.2,62,-6415,6.2,3,111.5,290
Guinea-Bissau,WesternAfrica,36125,1861,66.2,978,45,14.5,40.5,673,5.6,2.2,69.3,77
Guinea,WesternAfrica,245857,12717,51.8,8875,19.8,32.8,47.4,-329,5.6,3.2,87.2,185
Guyana,SouthAmerica,214969,778,4,3282,17.6,31.7,50.6,-172,5.2,3.2,67.2,94
Haiti,Caribbean,27750,10981,398.4,8501,16.7,38.2,45.1,-2332,7.6,,69.9,205
Holy See,SouthernEurope,1.00E-05,1,1800,,,,,,,,,1
Honduras,CentralAmerica,112492,9265,82.8,20365,13,25.1,61.9,-4791,8.7,5.9,95.5,301
Hungary,EasternEurope,93024,9722,107.4,121715,4.1,31.9,64,11027,7.4,4.7,118.9,66
Iceland,NorthernEurope,103000,335,3.3,16780,6.4,24,69.7,-1254,8.9,7.8,114,27
India,SouthernAsia,3287263,1339180,450.4,2116239,17,29.7,53.2,-96378,4.7,3.8,78.8,1052
Indonesia,South-easternAsia,1910931,263991,145.7,861934,14,41.3,44.7,8837,2.8,3.6,132.4,1281
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,398563,8.6,39.1,52.3,10294,7.5,2.9,93.4,134
Iraq,WesternAsia,435052,38275,88.1,164234,4.6,58,37.4,-18490,5.5,,93.8,72
Ireland,NorthernEurope,69797,4762,69.1,283716,1,41.7,57.3,52318,7.8,5.3,103.7,50
Isle of Man,NorthernEurope,572,84,147.9,,,,,,,,,3
Israel,WesternAsia,22072,8322,384.5,299413,1.3,21.2,77.5,-5232,7.8,5.8,133.5,174
Italy,SouthernEurope,302073,59360,201.8,1821580,2.2,23.5,74.2,56951,9.2,4.1,151.3,359
Jamaica,Caribbean,10990,2890,266.9,14262,7.1,22.3,70.5,-3565,5.4,5.5,111.5,311
Japan,EasternAsia,377930,127484,349.7,4383076,1.2,26.4,72.4,38008,10.2,3.6,125,404
Jordan,WesternAsia,89318,9702,109.3,37517,4,27.7,68.4,-11698,7.5,,179.4,113
Kazakhstan,CentralAsia,2724902,18204,6.7,181754,5,32.5,62.5,11601,4.4,2.8,187.2,82
Kenya,EasternAfrica,591958,49700,87.3,63399,32,19,49,-8420,5.7,5.3,80.7,480
Kiribati,Micronesia,726,116,143.7,162,24.1,13.6,62.2,-113,10.2,,38.8,104
Kuwait,WesternAsia,17818,4136,232.1,114054,0.6,48.7,50.7,15413,3,,231.8,49
Kyrgyzstan,CentralAsia,199949,6045,31.5,6572,15.4,25.9,58.7,-2421,6.5,5.5,132.8,44
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,12585,23.6,32.8,43.6,-2447,1.9,3.3,53.1,209
Latvia,NorthernEurope,64573,1950,31.3,27004,3.2,23.3,73.5,-2163,5.9,5.3,127,30
Lebanon,WesternAsia,10452,6082,594.6,50149,3.2,19.6,77.2,-17007,6.4,2.6,87.1,87
Lesotho,SouthernAfrica,30355,2233,73.6,2008,7.7,31.3,61,-1079,10.6,,105.5,18
Liberia,WesternAfrica,111369,4732,49.1,2053,70.8,11.4,17.9,-86,10,2.8,81.1,172
Libya,NorthernAfrica,1676198,6375,3.6,34457,0.9,67.1,32,-4261,5,,157,63
Liechtenstein,WesternEurope,160,38,237,6361,0.7,40.1,59.2,,,2.6,108.8,6
Lithuania,NorthernEurope,65286,2890,46.1,41402,3.6,29.8,66.5,-2476,6.6,4.6,139.5,26
Luxembourg,WesternEurope,2586,584,225.3,56802,0.2,12.1,87.7,-6285,6.9,4.1,148.5,11
Madagascar,EasternAfrica,587295,25571,44,9739,24.9,18.4,56.7,-709,3,2.1,46,1324
Malawi,EasternAfrica,118484,18622,197.5,6420,26.1,16.6,57.3,-774,11.4,5.6,35.3,176
Malaysia,South-easternAsia,330323,31624,96.3,296284,8.6,39.6,51.8,21039,4.2,5,143.9,1272
Maldives,SouthernAsia,300,436,1454.4,3435,3.1,22,74.9,-1988,13.7,5.2,206.7,75
Mali,WesternAfrica,1240192,18542,15.2,13100,39.9,19.6,40.5,520,7,3.7,139.6,42
Malta,SouthernEurope,315,431,1346.4,9747,1.4,15,83.6,-3143,9.7,7.8,129.3,39
Marshall Islands,Micronesia,181,53,295.2,183,16.4,10.2,73.3,-58,17.1,,29.2,101
Martinique,Caribbean,1128,385,363.1,,,,,,,,,48
Mauritania,WesternAfrica,1030700,4420,4.3,5023,20.9,41.7,37.4,-551,3.8,2.9,89.3,86
Mauritius,EasternAfrica,1969,1265,623.2,11511,2.9,22.7,74.4,-2461,4.8,4.9,140.6,257
Mayotte,EasternAfrica,,253,674.8,,,,,,,,,88
Mexico,CentralAmerica,1964375,129163,66.4,1140724,3.6,36,60.4,-13181,6.3,5.3,85.3,1162
Micronesia (Federated States of),Micronesia,702,106,150.8,315,27.8,6.5,65.8,-34,13.7,12.5,30.3,167
Monaco,WesternEurope,2,39,25969.8,6258,,13.4,86.6,,4.3,1,88.8,21
Mongolia,EasternAsia,1564116,3076,2,11758,14.8,34.1,51.1,1559,4.7,4.6,105,41
Montenegro,SouthernEurope,13812,629,46.8,4020,9.8,17.5,72.6,-1908,6.4,,162.2,98
Montserrat,Caribbean,103,5,51.8,59,1.4,12.7,85.9,-32,,,96.6,55
Morocco,NorthernAfrica,446550,35740,80.1,100359,13.7,28.9,57.4,-18838,5.9,,126.9,207
Mozambique,EasternAfrica,799380,29669,37.7,14806,24.6,21,54.4,-1943,7,6.5,74.2,309
Myanmar,South-easternAsia,676577,53371,81.7,62601,26.7,34.5,38.7,-4023,2.3,,76.7,321
Namibia,SouthernAfrica,824116,2534,3.1,11491,6.6,30.6,62.8,-1905,,,102.1,115
Nauru,Micronesia,21,11,568,189,3,59.9,37.1,,3.3,,67.8,82
Nepal,SouthernAsia,147181,29305,204.4,20658,31.8,14.9,53.3,-4547,5.8,3.7,96.8,104
